"work_order_id","sample_month","unit_or_location","category","sub_category","priority","submitted_at","acknowledged_at","assigned_at","completed_at","status","assigned_to","vendor","description_summary","attachment_present","permission_to_enter","pet_present","reopened","resident_rating","cost_or_effort","routing_tags"
"SAMPLE-RH-0001","Jan","Unit sample 01","Plumbing","Garbage disposal","High","sample-Jan-01","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0002","Jan","Unit sample 02","Plumbing","Shower drain","High","sample-Jan-02","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0003","Jan","Unit sample 03","Plumbing","Toilet clog","High","sample-Jan-03","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0004","Jan","Unit sample 04","Plumbing","Sink leak","High","sample-Jan-04","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0005","Jan","Unit sample 05","Plumbing","Hot water / shower issue","High","sample-Jan-05","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Unknown","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0006","Jan","Unit sample 06","Plumbing","Garbage disposal","High","sample-Jan-06","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0007","Jan","Unit sample 07","Plumbing","Shower drain","High","sample-Jan-07","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","No","No","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0008","Jan","Unit sample 08","Plumbing","Toilet clog","High","sample-Jan-08","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0009","Jan","Unit sample 09","Plumbing","Sink leak","High","sample-Jan-09","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0010","Jan","Unit sample 10","Plumbing","Hot water / shower issue","High","sample-Jan-10","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Unknown","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0011","Jan","Unit sample 11","Plumbing","Garbage disposal","High","sample-Jan-11","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0012","Jan","Unit sample 12","Plumbing","Shower drain","High","sample-Jan-12","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0013","Jan","Unit sample 13","Plumbing","Toilet clog","High","sample-Jan-13","sample + 1 day","sample + 1-2 days","unavailable","Reopened","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","No","Yes","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0014","Jan","Unit sample 14","Plumbing","Sink leak","High","sample-Jan-14","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","No","No","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0015","Jan","Unit sample 15","Plumbing","Hot water / shower issue","High","sample-Jan-15","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0016","Jan","Unit sample 16","Plumbing","Garbage disposal","High","sample-Jan-16","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0017","Jan","Unit sample 17","Plumbing","Shower drain","High","sample-Jan-17","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0018","Feb","Unit sample 18","Plumbing","Toilet clog","High","sample-Feb-01","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0019","Feb","Unit sample 19","Plumbing","Sink leak","High","sample-Feb-02","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0020","Feb","Unit sample 20","Plumbing","Hot water / shower issue","High","sample-Feb-03","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Unknown","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0021","Feb","Unit sample 21","Plumbing","Garbage disposal","High","sample-Feb-04","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","Yes","No","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0022","Feb","Unit sample 22","Plumbing","Shower drain","High","sample-Feb-05","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0023","Feb","Unit sample 23","Plumbing","Toilet clog","High","sample-Feb-06","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0024","Feb","Unit sample 24","Plumbing","Sink leak","High","sample-Feb-07","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0025","Feb","Unit sample 25","Plumbing","Hot water / shower issue","High","sample-Feb-08","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Unknown","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0026","Feb","Unit sample 26","Plumbing","Garbage disposal","High","sample-Feb-09","sample + 1 day","sample + 1-2 days","unavailable","Reopened","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","No","Yes","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0027","Feb","Unit sample 27","Plumbing","Shower drain","High","sample-Feb-10","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0028","Feb","Unit sample 28","Plumbing","Toilet clog","High","sample-Feb-11","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","No","No","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0029","Feb","Unit sample 29","Plumbing","Sink leak","High","sample-Feb-12","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0030","Feb","Unit sample 30","Plumbing","Hot water / shower issue","High","sample-Feb-13","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0031","Feb","Unit sample 31","Plumbing","Garbage disposal","High","sample-Feb-14","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0032","Feb","Unit sample 32","Plumbing","Shower drain","High","sample-Feb-15","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0033","Feb","Unit sample 33","Plumbing","Toilet clog","High","sample-Feb-16","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0034","Feb","Unit sample 34","Plumbing","Sink leak","High","sample-Feb-17","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0035","Feb","Unit sample 35","Plumbing","Hot water / shower issue","High","sample-Feb-18","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Unknown","No","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0036","Mar","Unit sample 36","Plumbing","Garbage disposal","High","sample-Mar-01","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","Yes","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0037","Mar","Unit sample 37","Plumbing","Shower drain","High","sample-Mar-02","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0038","Mar","Unit sample 38","Plumbing","Toilet clog","High","sample-Mar-03","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0039","Mar","Unit sample 39","Plumbing","Sink leak","High","sample-Mar-04","sample + 1 day","sample + 1-2 days","unavailable","Reopened","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","Yes","Yes","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0040","Mar","Unit sample 40","Plumbing","Hot water / shower issue","High","sample-Mar-05","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Hot water / shower issue.","No","Yes","Unknown","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0041","Mar","Unit sample 41","Plumbing","Garbage disposal","High","sample-Mar-06","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Garbage disposal.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0042","Mar","Unit sample 42","Plumbing","Shower drain","High","sample-Mar-07","sample + 1 day","sample + 1-2 days","unavailable","Open","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Shower drain.","No","Yes","Yes","No","unavailable","TBD","habitability-risk"
"SAMPLE-RH-0043","Mar","Unit sample 43","Plumbing","Toilet clog","High","sample-Mar-08","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Toilet clog.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0044","Mar","Unit sample 44","Plumbing","Sink leak","High","sample-Mar-09","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Plumbing request for Sink leak.","No","Yes","No","No","sample 3-5","TBD","habitability-risk"
"SAMPLE-RH-0045","Mar","Unit sample 45","Appliances","Stove","Medium","sample-Mar-10","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Stove.","No","Yes","Yes","No","sample 3-5","TBD","daily-life-breaker"
"SAMPLE-RH-0046","Mar","Unit sample 46","Appliances","Microwave","Medium","sample-Mar-11","sample + 1 day","sample + 1-2 days","sample + 2-10 days","Completed","Maintenance","Internal maintenance first","Sanitized sample Appliances request for Microwave.","No","Yes","No","No","sample 3-5","TBD","daily-life-breaker"
